sku;title;descrFiscal;ean;dun;marca_original;classe;conservacao;pesoLiquido;pesoBruto;url
1193;CHARQUE CUPIM (30KG) - BERTIN;O Charque Cupim Bertin é um corte suculento e macio, ideal para quem aprecia sabores intensos. Com 30kg, é perfeito para grandes preparações, oferecendo praticidade e qualidade. Sua origem industrializada garante um produto seguro e saboroso. Quantidade mínima e máxima da caixa é 1, mantendo a conveniência na estocagem. Temperatura ambiente.;0789435116588;;BERTIN;Bovinos;Temperatura Ambiente;30 kg;30.000 kg (Caixa);https://www.friboionline.com.br/product/charque-cupim-30kg-bertin-industrializado-ambiente/1193
2501;FEIJOADA ANGLO (830G) - ANGLO;A feijoada pronta é uma opção prática e completa, com sabor tradicional e preparo rápido. Ideal para otimizar tempo, mantém qualidade, rendimento e padronização no consumo. Quantidade Mínima da Caixa: 1;0789603751483;;ANGLO;Outros;Resfriado;830 g;9.960 kg (Caixa);https://www.friboionline.com.br/product/feijoada-830g-anglo-industrializado-ambiente/2501
2503;FEIJOADA (830G) - BORDON;A Feijoada Bordon é uma deliciosa opção de prato pronto, contendo 830g de sabor e tradição. Este prato é preparado com ingredientes selecionados, garantindo uma combinação perfeita de sabores. Armazenada em temperatura ambiente, proporciona facilidade e conveniência para aqueles que buscam um sabor autêntico em uma refeição prática.;0789603122408;;BORDON;Outros;Temperatura Ambiente;830 g;9.960 kg (Caixa);https://www.friboionline.com.br/product/feijoada-830g-bordon-industrializado-ambiente/2503
2707;FIAMBRE (320G) - ANGLO;O Fiambre Anglo de 320g é um produto industrializado que oferece praticidade e sabor. Com uma textura macia e um sabor característico, este fiambre é ideal para sanduíches e aperitivos. Mantido em temperatura ambiente, é uma opção fácil de armazenar e utilizar em lanches rápidos, trazendo qualidade e sabor em cada fatia.;0789603751471;;ANGLO;Outros;Temperatura Ambiente;320 g;7.680 kg (Caixa);https://www.friboionline.com.br/product/fiambre-320g-anglo-industrializado-ambiente/2707
350184;PICANHA B URUGUAIA - LAS MORAS;A picanha uruguaia congelada é ideal para seu estabelecimento que busca cortes nobres com padrão internacional de qualidade. Perfeita para grelhar ou assar, mantém maciez, suculência e sabor intensos, oferecendo uma experiência gastronômica diferenciada aos clientes, otimizando a apresentação e o resultado final dos pratos servidos. Origem: Bovino;;;LAS MORAS;Bovinos;Congelado;;1.000 kg (Caixa);https://www.friboionline.com.br/product/picanha-uruguaia-las-moras-bovino-congelado/350184
350373;SOBREPALETA SUÍNA SEM OSSO - ALIBEM;A Sobrepaleta Suína sem Osso Alibem é um corte macio e versátil, ideal para assados e cozidos. Com sabor marcante, traz opções deliciosas para suas refeições. Originária de suínos selecionados, a embalagem contém entre 8 e 12 peças, garantindo frescor e qualidade superior. Origem: Suíno | Quantidade Mínima da Caixa: 8 | Quantidade Máxima da Caixa: 12;;;ALIBEM;Bovinos;Congelado;;20.000 kg (Caixa);https://www.friboionline.com.br/product/sobrepaleta-suina-sem-osso-alibem-suino-congelado/350373
350402;LOMBO SUÍNO - ALIBEM;O Lombo Suíno - Alibem é um corte saboroso e macio, perfeito para grelhados e assados. Sua carne é ideal para preparar pratos que agradam a todos. Cada caixa contém entre 6 e 8 unidades, oferecendo facilidade no armazenamento. Para preservar a qualidade, mantenha congelado e aproveite essa deliciosa opção em suas receitas. Origem: Suíno | Quantidade Mínima da Caixa: 6 | Quantidade Máxima da Caixa: 8;;;ALIBEM;Suínos;Congelado;;20.000 kg (Caixa);https://www.friboionline.com.br/product/lombo-suino-alibem-suino-congelado/350402
350430;GALETO COM OSSO PACOTE (500G A 700G) - SEARA;O Galeto com Osso (500g a 700g) Seara é uma opção saborosa para grelhar ou assar. Com carne suculenta e sabor delicado, é perfeito para diversas preparações. Proveniente de aves selecionadas, a embalagem contém entre 16 e 20 peças, assegurando frescor e qualidade. Origem: Ave | Quantidade Mínima da Caixa: 16 | Quantidade Máxima da Caixa: 20;0789490401391;;SEARA;Aves;Congelado;500 g;11.000 kg (Caixa);https://www.friboionline.com.br/product/galeto-com-osso-pacote-500g-a-700g-seara-ave-congelado/350430
350431;COXA E SOBRECOXA INTERFOLHADA - SEARA;Coxa e Sobrecoxa Interfolhada - Seara, produto de origem avícola congelado, pronto para uso em grelhados, assados e refeições porcionadas. A interfolha facilita o manuseio e evita desperdício. Cada caixa contém 1 unidade, ideal para cozinhas profissionais que prezam por praticidade e qualidade. Origem: Ave;0789490401414;;SEARA;Aves;Congelado;;15.000 kg (Caixa);https://www.friboionline.com.br/product/coxa-e-sobrecoxa-interfolhada-seara-ave-congelado/350431
350433;LINGUIÇA ESPECIAL DE PERNIL PACOTE (5KG) - SEARA;A Linguiça Especial de Pernil (5kg) Seara é ideal para churrascos e grelhados. Com seu sabor marcante e textura suculenta, proporciona refeições deliciosas. A embalagem contém exatamente 4 unidades de 5kg, garantindo qualidade e praticidade no preparo. Quantidade Mínima da Caixa: 4 | Quantidade Máxima da Caixa: 4;0789490400506;;SEARA;Aves;Congelado;5 kg;20.000 kg (Caixa);https://www.friboionline.com.br/product/linguica-especial-de-pernil-pacote-5kg-seara-industrializado-congelado/350433
350436;BACON EM MANTA ESPECIAL DEFUMADO - SEARA;O Bacon em Manta Especial Defumado - Seara é um produto versátil e saboroso, ideal para adicionar um toque defumado a diversas receitas. Com uma textura rica e sabor marcante, é perfeito para frituras e grelhados. Cada caixa contém 3 unidades, garantindo praticidade no uso. Pode ser armazenado em temperatura ambiente, facilitando seu consumo e aproveitamento em várias preparações. Quantidade Mínima da Caixa: 3 | Quantidade Máxima da Caixa: 3;0789490400645;;SEARA;Aves;Temperatura Ambiente;;14.000 kg (Caixa);https://www.friboionline.com.br/product/bacon-em-manta-especial-defumado-seara-industrializado-ambiente/350436
350437;SOBREPALETA SUÍNA SEM OSSO - SEARA;A Sobrepaleta Suína Sem Osso Seara , também conhecida no mercado como Copa Lombo ou Bife Ancho Suíno, é um corte extremamente versátil e saboroso. Localizada no lombo do animal, esta peça se destaca pela presença de gordura entremeada no meio da carne, o que garante suculência e maciez excepcionais, seja ao grelhar ou assar. Ideal para restaurantes comerciais, lanchonetes e buffets, este corte congelado a vácuo oferece praticidade e padronização. Sua textura macia permite a criação de pratos variados, desde bifes suculentos até assados de forno que desmancham na boca, elevando o nível do seu cardápio com o sabor marcante da carne suína. Origem: Suíno | Quantidade Mínima da Caixa: 6 | Quantidade Máxima da Caixa: 7;0789490400157;;SEARA;Bovinos;Congelado;;18.000 kg (Caixa);https://www.friboionline.com.br/product/sobrepaleta-suina-sem-osso-seara-suino-congelado/350437
350502;CORAÇÃO DE FRANGO PACOTE (1KG) - SEARA;O Coração de Frango Pacote Seara é um clássico indispensável para churrascos e petiscos. Com seu sabor característico e textura apreciada, é ideal para preparos grelhados, cozidos e, principalmente, em espetos. O produto vem em pacotes de 1kg, facilitando o porcionamento e o controle de estoque. Este item é essencial para churrascarias, espetarias, buffets com churrasqueira e restaurantes comerciais. Congelado para manter o frescor, o coração de frango Seara oferece praticidade e qualidade constante para o seu estabelecimento. A caixa contém 18 pacotes, otimizando a reposição. Origem: Ave | Quantidade Mínima da Caixa: 18 | Quantidade Máxima da Caixa: 18;0789490401816;;SEARA;Aves;Congelado;1 kg;18.000 kg (Caixa);https://www.friboionline.com.br/product/coracao-de-frango-pacote-1kg-seara-ave-congelado/350502
350517;COSTELA SUÍNA SPECIAL LINE - SEARA;A Costela Suína Special Line Seara é um corte suíno congelado premium, ideal para churrascarias, restaurantes e food service. Mantém sabor, maciez e frescor, fornecida em caixas de 13 a 23 unidades, perfeita para assados, churrascos e preparações gourmet. Origem: Suíno | Quantidade Mínima da Caixa: 13 | Quantidade Máxima da Caixa: 23;0789490400919;;SEARA;Bovinos;Congelado;;15.000 kg (Caixa);https://www.friboionline.com.br/product/costela-suina-special-line-seara-suino-congelado/350517
350519;LINGUIÇA CALABRESA CURVA PACOTE (2,5KG) - SEARA;A Linguiça Calabresa Curva (2,5kg) - Seara é uma opção deliciosa e versátil, ideal para grelhados e cozidos. Com um sabor intenso e tempero especial, é perfeita para dar um toque especial a suas receitas. Cada caixa contém 6 unidades, oferecendo praticidade e qualidade. Mantenha em temperatura ambiente, facilitando seu consumo em várias preparações. Quantidade Mínima da Caixa: 6 | Quantidade Máxima da Caixa: 6;0789490400974;;SEARA;Aves;Temperatura Ambiente;2.5 kg;15.000 kg (Caixa);https://www.friboionline.com.br/product/linguica-calabresa-curva-pacote-2-5kg-seara-industrializado-ambiente/350519
350530;LINGUIÇA TOSCANA PACOTE (5KG) - SEARA;A Linguiça Toscana (5kg) Seara é ideal para churrascos e grelhados. Com seu sabor marcante e textura suculenta, proporciona refeições deliciosas. A embalagem contém exatamente 4 unidades de 5kg, garantindo praticidade e qualidade no preparo. Quantidade Mínima da Caixa: 4 | Quantidade Máxima da Caixa: 4;0789490400928;;SEARA;Aves;Congelado;5 kg;20.000 kg (Caixa);https://www.friboionline.com.br/product/linguica-toscana-pacote-5kg-seara-industrializado-congelado/350530
350929;PERNIL SUÍNO BOLA SEM OSSO E SEM PELE - ALIBEM;O Pernil Suíno Bola sem Osso e sem Pele Alibem é um corte versátil, com excelente rendimento e sabor suave. Ideal para assados, fatiados, desfiados e preparações industriais, atende perfeitamente açougues, restaurantes e cozinhas profissionais. Produto congelado, garantindo segurança alimentar, padronização e maior vida útil no estoque. Origem: Suíno | Quantidade Mínima da Caixa: 1 | Quantidade Máxima da Caixa: 3;;;ALIBEM;Aves;Congelado;;20.000 kg (Caixa);https://www.friboionline.com.br/product/pernil-suino-bola-sem-osso-e-sem-pele-alibem-suino-congelado/350929
351128;LOMBO SUÍNO - SEARA;Lombo Suíno - Seara, corte selecionado e versátil para grelhar, assar ou fatiar. Produto de origem suína, com excelente textura e sabor. Congelado e porcionado em caixas com 10 unidades, é ideal para açougues, restaurantes e cozinhas industriais que priorizam qualidade e padronização. Origem: Suíno | Quantidade Mínima da Caixa: 10 | Quantidade Máxima da Caixa: 10;0789490400167;;SEARA;Aves;Congelado;;20.000 kg (Caixa);https://www.friboionline.com.br/product/lombo-suino-seara-suino-congelado/351128
351481;PICANHA A (ABAIXO DE 1,6KG) ARGENTINA - ARREBEEF;A Picanha (abaixo de 1,6kg) Argentina Arrebeef é um corte bovino congelado premium, ideal para churrascarias, restaurantes e food service. Mantém sabor, maciez e padronização, fornecida em caixas de 8 a 12 unidades, perfeita para grelhar e assados de alta qualidade. Origem: Bovino | Quantidade Mínima da Caixa: 8 | Quantidade Máxima da Caixa: 12;;;ARREBEEF;Bovinos;Congelado;1.6 kg;20.000 kg (Caixa);https://www.friboionline.com.br/product/picanha-abaixo-de-1-6kg-argentina-arrebeef-bovino-congelado/351481
